,CFC-12,Halon-1211,HCFC-22,HCFC-141b,Methylchloroform,HFC-23,HFC-125,HFC-134a,HFC-152a,Nitrogentrifluoride,PFC-14,PFC-116,Sulfurhexafluoride
1991.88,499.30699999999996,,,,129.398,8.68476,,,,,,,
1991.96,501.395,,,,131.225,8.74592,,,,,,,
1992.04,501.75300000000004,,,,129.605,8.68,,,,,,,
1992.12,503.185,,97.8,,130.13299999999998,9.06,,,,,,,
1992.21,503.402,,99.3,,130.445,8.88447,,,,,,,
1992.29,504.30699999999996,,100.9,,131.155,8.81,,,,,,,
1992.38,505.083,,101.25,,131.631,8.900310000000001,,,,,,,
1992.46,506.35,,101.65,,131.85399999999998,8.9447,,,,,,,
1992.54,507.48699999999997,,101.95,,131.091,9.12,,,,,,,
1992.62,509.05300000000005,,102.55,,130.62,9.21278,,,,,,,
1992.71,509.445,,103.15,,129.985,9.295,,,,,,,
1992.79,509.87199999999996,,103.45,,129.975,9.37065,,,,,,,
1992.88,510.478,,104.3,,128.905,9.433769999999999,,,,,,,
1992.96,511.42,,105.05,,129.155,9.48644,,,,,,,
1993.04,511.665,,103.75,,129.292,9.52865,,,,,,,
1993.12,511.215,,103.35,0.405,127.815,9.560410000000001,,,,,,,
1993.21,511.935,,102.9,0.45,128.512,9.581719999999999,,,,,,,
1993.29,512.065,,103.55,0.54,127.66799999999999,9.59257,,,,,,,
1993.38,512.453,,104.15,0.57,127.397,9.59297,,,,,,,
1993.46,513.138,,105.65,0.62,127.01799999999999,9.585,,,,,,,
1993.54,513.8,,106.1,0.645,125.91,9.58048,,,,,,,
1993.62,515.194,,106.35,0.835,124.493,9.53,,,,,,,
1993.71,515.88,,106.85,0.89,123.319,9.68,,,,,,,
1993.79,516.816,,107.25,0.985,122.35700000000001,9.830960000000001,,,,,,,
1993.88,516.395,,108.0,1.06,120.765,9.91087,,,,,,,
1993.96,517.661,,109.25,1.13,120.84,9.939119999999999,,,,,,,
1994.04,518.697,,108.25,1.14,120.31,9.9157,,,,,,,
1994.12,519.489,,109.3,1.315,119.39399999999999,9.86,,,,,,,
1994.21,519.405,,111.0,1.5,118.06,9.7,,,,,,,
1994.29,519.9830000000001,,111.5,1.57,117.691,10.02,,,,,,,
1994.38,520.809,,111.7,1.84,117.221,9.983089999999999,,,,,,,
1994.46,520.775,,111.2,1.875,115.256,9.995,,,,,,,
1994.54,521.7280000000001,,111.15,2.085,114.322,10.0246,,,,,,,
1994.62,522.19,,111.4,2.115,113.23200000000001,10.065,,,,,,,
1994.71,523.242,,112.95,2.195,112.336,10.1241,,,,,,,
1994.79,523.762,,112.75,2.36,111.781,10.21,,,,,,,
1994.88,524.187,,113.55,2.7905,110.90799999999999,10.3062,,1.0655,,,,,
1994.96,524.975,,112.3,2.82675,109.671,10.41,,1.05075,,,,,
1995.04,525.089,,111.95,2.8517900000000003,108.315,10.3905,,1.12284,,,,,
1995.12,525.626,,114.15,2.89146,107.68,10.36,,1.26691,,,,,
1995.21,525.964,,113.85,3.0525,107.102,10.81,,1.37025,,,,,
1995.29,525.502,,115.0,3.33075,106.333,10.42,,1.53325,,,,,
1995.38,525.863,,115.4,3.44325,105.234,10.7673,,1.5365,,,,,
1995.46,526.447,,115.8,3.53825,104.35600000000001,10.96,,1.651,,,,,
1995.54,526.966,,116.2,3.76975,103.079,10.8841,,1.73525,,,,,
1995.62,527.464,,117.35,3.90125,101.4,10.9835,,1.7990000000000002,,,,,
1995.71,527.935,,117.4,4.033,99.802,11.0727,,1.8924599999999998,,,,,
1995.79,528.27,,119.45,4.26175,99.64,11.1519,,2.06975,,,,,
1995.88,529.04,,118.15,4.33175,97.96600000000001,11.08,,2.1375,,,,,
1995.96,529.295,,119.55,4.63296,97.085,11.1921,,2.3020400000000003,,,,,
1996.04,530.001,,119.55,4.73525,96.295,11.2708,,2.40675,,,,,3.445
1996.12,530.393,,121.2,5.091,95.615,11.43,,2.645,,,,,3.475
1996.21,530.89,,120.6,5.02875,94.48,11.4969,,2.57,,,,,3.51
1996.29,531.298,,119.25,4.959,93.311,11.54,,2.75375,,,,,3.5
1996.38,532.0319999999999,,120.2,5.204,92.87700000000001,11.5,,2.80325,,,,,3.535
1996.46,532.54,,120.3,5.40825,90.949,11.7443,,3.005,,,,,3.59
1996.54,532.859,,121.1,5.497000000000001,89.234,11.8418,,3.19875,,,,,3.675
1996.62,533.104,,121.75,5.73375,87.49600000000001,11.97,,3.3155,,,,,3.695
1996.71,533.442,,122.35,5.94075,86.333,11.9596,,3.49225,,,,,3.645
1996.79,533.516,,123.5,6.11475,84.802,12.0087,,3.6645,,,,,3.685
1996.88,534.1659999999999,,124.0,6.55025,83.833,11.93,,3.93975,,,,,3.71
1996.96,534.364,,124.15,6.76375,83.021,11.9789,,4.04175,,,,,3.765
1997.04,534.689,,124.35,6.78753,82.179,12.06,,4.12804,,,,,3.78
1997.12,534.594,,123.7,6.87568,80.958,12.12,,4.38025,,,,,3.775
1997.21,534.854,,125.2,6.980519999999999,80.139,12.2374,,4.685,,,,,3.785
1997.29,534.909,,124.85,7.159560000000001,78.862,12.335999999999999,,4.60825,,,,,3.815
1997.38,535.031,,125.7,7.3203,78.02600000000001,12.45,,4.5405,,,,,3.835
1997.46,535.2090000000001,,125.85,7.5477300000000005,77.126,12.5504,,4.61635,,,,,3.825
1997.54,535.846,,126.45,7.63687,75.75399999999999,12.64,,4.88705,,,,,3.87
1997.62,536.22,,126.65,7.5852,74.46300000000001,12.6135,,5.08135,,,,,3.905
1997.71,536.474,,127.1,7.7977300000000005,73.258,12.6651,,5.638,,,,,3.92
1997.79,536.7230000000001,,127.35,7.94195,72.05199999999999,12.7231,,5.69325,,,,,3.965
1997.88,537.239,,127.4,8.092880000000001,71.357,12.7875,,6.239,,,,,3.96
1997.96,537.431,,128.35,8.253,70.47800000000001,12.8584,,6.36975,,,,,4.01
1998.04,537.746,,128.45,8.20982,69.57,12.9356,,6.47325,,,,,4.04
1998.12,537.3530000000001,,129.15,8.37575,68.384,13.0192,,6.82375,,,,,4.04
1998.21,537.5880000000001,,128.762,8.53825,67.416,12.98,0.778,6.7015,1.288,,,,4.055
1998.29,537.481,,129.749,8.8115,66.676,13.31,0.7959999999999999,6.96175,1.3765,,,,4.08
1998.38,537.778,,129.994,8.9375,65.737,13.4323,0.81875,7.08325,1.4065,,,,4.14
1998.46,538.012,,130.549,9.19025,64.777,13.6007,0.8315,7.422000000000001,1.4325,,,,4.095
1998.54,538.4259999999999,,131.106,9.2995,63.733999999999995,13.748,0.882,7.702000000000001,1.4040000000000001,,,,4.13
1998.62,538.68,,131.97,9.50025,62.666000000000004,13.8744,0.9129999999999999,8.02925,1.3530000000000002,,,,4.14
1998.71,539.14,,133.089,9.7255,61.619,13.9797,0.90075,8.45225,1.3645,,,,4.14
1998.79,539.3530000000001,,133.482,9.8985,60.77,14.04,0.9075,8.7465,1.3530000000000002,,,,4.15
1998.88,539.948,,133.662,10.0875,59.842,14.0891,0.95025,8.93075,1.4075,,,,4.22
1998.96,540.111,,134.494,10.2501,59.125,14.175,0.96478,9.15071,1.43329,,,,4.21
1999.04,540.432,,134.349,10.3724,58.446999999999996,14.2549,0.9832209999999999,9.35554,1.47696,,,,4.245
1999.12,540.399,,134.559,10.4432,57.605,14.2,0.996,9.56725,1.4995,,,,4.275
1999.21,540.064,,135.07,10.548,56.7,14.49,1.03075,9.77675,1.554,,,,4.27
1999.29,540.18,,135.7,10.7677,55.855,14.18,1.06025,10.047,1.5925,,,,4.285
1999.38,540.125,,136.336,10.8878,55.037,14.3573,1.12975,10.329,1.611,,,,4.335
1999.46,540.198,,136.745,11.0527,54.361000000000004,14.54,1.135,10.6015,1.5785,,,,4.32
1999.54,540.413,,136.953,11.142999999999999,53.215,14.6332,1.16767,10.885,1.5659999999999998,,,,4.33
1999.62,540.763,,137.42600000000002,11.2675,52.21,14.72,1.1845,11.2437,1.548,,,,4.35
1999.71,540.87,,137.857,11.4618,51.596000000000004,15.17,1.14875,11.5988,1.527,,,,4.37
1999.79,541.302,,138.715,11.6477,50.852,14.64,1.17675,11.9102,1.6105,,,,4.39
1999.88,541.605,,139.191,11.8035,50.106,15.1,1.20825,12.1935,1.6640000000000001,,,,4.405
1999.96,541.985,,139.477,11.9392,49.471000000000004,14.79,1.21275,12.4905,1.6475,,,,4.425
2000.04,542.258,,139.539,12.0632,48.836000000000006,14.67,1.2355,12.6573,1.6735,,,,4.477
2000.12,542.232,,139.486,12.0682,48.128,14.97,1.28775,12.7017,1.6815,,,,4.502
2000.21,542.378,,140.216,12.2092,47.582,15.0941,1.32531,13.0025,1.6895,,,,4.4895
2000.29,542.448,,141.079,12.5468,46.966,15.2601,1.35533,13.460999999999999,1.805,,,,4.522
2000.38,542.4780000000001,,141.09,12.595999999999998,46.254,15.4118,1.38317,13.6575,1.7915,,,,4.4935
2000.46,542.609,,141.329,12.7838,45.54600000000001,15.5493,1.4228399999999999,13.9655,1.7885,,,,4.535
2000.54,542.849,,142.055,12.994000000000002,44.641999999999996,15.6725,1.4715,14.3328,1.729,,,,4.558
2000.62,543.151,,143.111,13.1085,43.958999999999996,15.7815,1.50216,14.6602,1.709,,,,4.565
2000.71,543.332,,143.34,13.1503,43.286,15.8762,1.52631,14.8485,1.7225,,,,4.5905
2000.79,543.748,,144.436,13.4695,42.411,15.9566,1.57295,15.4422,1.825,,,,4.6255
2000.88,543.851,,145.224,13.578,42.018,16.0228,1.6453400000000002,15.7193,1.89,,,,4.6145
2000.96,543.977,,145.175,13.6388,41.54600000000001,16.0747,1.68272,15.8512,1.9845,,,,4.65
2001.04,543.891,,144.875,13.6632,40.903,16.1124,1.71933,16.0607,1.92858,,,,4.671
2001.12,543.914,,145.50799999999998,13.8003,40.354,16.1358,1.7463099999999998,16.2545,1.9815,,,,4.688
2001.21,543.749,,146.261,13.908,39.766,16.1449,1.7789599999999999,16.6442,2.0115,,,,4.7025
2001.29,543.501,,146.66,14.0247,39.29,16.11,1.8038,16.7018,2.045,,,,4.7215
2001.38,543.355,,147.52700000000002,14.0487,38.688,16.1792,1.83707,17.0443,2.0909999999999997,,,,4.7225
2001.46,543.636,,148.157,14.1908,38.024,16.11,1.8568799999999999,17.4148,2.12,,,,4.736000000000001
2001.54,543.785,,148.852,14.3187,37.376999999999995,16.69,1.8840299999999999,17.6957,2.0555,,,,4.7555
2001.62,543.784,,148.322,14.331,36.62,16.83,1.91,18.033,1.943,,,,4.76475
2001.71,543.885,,149.269,14.524000000000001,36.102,16.08,1.992,18.5098,1.9795,,,,4.8025
2001.79,544.19,,150.376,14.7013,35.56,16.41,1.9095,18.934,2.022,,,,4.81825
2001.88,544.322,,150.626,14.7458,34.977,16.77,1.94925,19.2492,2.1335,,,,4.85
2001.96,544.501,,151.047,14.9453,34.516999999999996,16.58,1.9545,19.602,2.2495,,,,4.837
2002.04,544.62,,150.778,14.8475,34.015,16.5576,1.9722099999999998,19.5895,2.2165,,,,4.85559
2002.12,544.49,,151.373,15.1195,33.527,16.5022,2.0384599999999997,20.0065,2.208,,,,4.87675
2002.21,544.434,,151.701,15.2397,33.086,16.4655,2.12049,20.2087,2.271,,,,4.893
2002.29,544.206,,152.049,15.2887,32.605,16.4477,2.1273,20.442,2.2840000000000003,,,,4.941
2002.38,543.967,,152.64,15.498,32.108000000000004,16.4486,2.16641,20.8072,2.40517,,,,4.909
2002.46,543.928,,153.887,15.5672,31.583000000000002,16.4683,2.1808,21.217,2.456,,,,4.9275
2002.54,543.994,,153.156,15.5223,31.031999999999996,16.5068,2.20074,21.4645,2.408,,,,4.946000000000001
2002.62,544.195,,154.06799999999998,15.7787,30.33,16.5641,2.2822,22.0845,2.3409999999999997,,,,4.97275
2002.71,544.232,,155.24,15.9352,29.951,16.6401,2.36521,22.5303,2.332,,,,4.99275
2002.79,544.433,,155.83700000000002,16.0385,29.491,16.735,2.40501,23.1328,2.4905,,,,5.02375
2002.88,544.637,,156.113,16.2517,29.087,16.8486,2.40809,23.4955,2.637,,,,5.03775
2002.96,544.539,,156.042,16.3165,28.705,16.980999999999998,2.40921,23.6593,2.767,,,,5.0605
2003.04,544.591,,155.90200000000002,16.2787,28.375999999999998,17.16,2.43975,23.854,2.736,,,,5.06825
2003.12,544.242,,156.03799999999998,16.3053,28.024,17.2562,2.46565,23.9242,2.6895,,,,5.08925
2003.21,544.377,,156.558,16.3965,27.595,17.47,2.539,24.339000000000002,2.8165,,,,5.10675
2003.29,544.273,,156.959,16.502,27.178,17.16,2.627,24.709,2.967,,,,5.127000000000001
2003.38,544.072,,157.511,16.5947,26.863000000000003,17.68,2.68825,25.0585,2.944,,,,5.1325
2003.46,543.807,,158.539,16.6735,26.578000000000003,17.7221,2.7296099999999996,25.4835,2.9415,,,,5.15225
2003.54,544.039,,158.971,16.6792,26.055999999999997,17.828,2.79407,25.7957,2.9165,,,,5.17425
2003.62,544.076,,159.445,16.820999999999998,25.494,17.8498,2.8376900000000003,26.3165,2.7689999999999997,,,,5.197
2003.71,544.182,,159.578,16.9303,25.125999999999998,17.64,2.8675,26.644000000000002,2.7495,,,,5.22625
2003.79,544.336,,160.485,17.089000000000002,24.77,17.74,3.0260000000000002,27.3027,2.928,,,,5.24025
2003.88,544.404,,161.155,17.2722,24.354,17.54,2.93038,27.9888,3.159,,,,5.25375
2003.96,544.688,,160.746,17.1997,24.066,17.49,2.99425,28.0532,3.1865,,,,5.276
2004.0420000000001,544.682,,160.586,17.179000000000002,23.726999999999997,18.04,2.917,28.162,2.908,,74.061,3.533,5.277
2004.125,544.464,,160.75,17.184,23.424,18.3257,2.926,28.141,2.884,,74.055,3.543,5.295
2004.2079999999999,544.3380000000001,,161.33100000000002,17.305,23.013,18.474,2.955,28.461,2.986,,74.15,3.553,5.319
2004.2920000000001,543.999,,161.691,17.338,22.721,18.4503,3.015,28.868000000000002,3.0439999999999996,,74.219,3.552,5.34
